title,url,discoutned_price,original_price,User-Agent
50 x Medical Disposable Face Mouth Mask 95% Filtration CE FDA HHI-582255,https://www.tinydeal.com/50-x-medical-disposable-face-mouth-mask-95-filtration-ce-fda-p-200376.html,15.10€,29.64€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
20 x KN95 Face Masks 95% Filtration N95 Mask NECEA-580961,https://www.tinydeal.com/20-x-kn95-face-masks-95-filtration-n95-mask-p-200361.html,25.91€,61.11€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
10 x Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask KB-581546,https://www.tinydeal.com/10-x-transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200338.html,12.71€,21.28€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
10 x KN95 Dustproof Anti-haze Face Masks 95% Filtration N95 Mask NECEA-581218,https://www.tinydeal.com/10-x-kn95-dustproof-anti-haze-face-masks-95-filtration-n95-mask-p-200022.html,13.86€,34.10€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Infrared Non-Contact Forehead Thermometer for Fever Check HHIHE-580934,https://www.tinydeal.com/infrared-non-contact-forehead-thermometer-for-fever-check-p-200328.html,38.20€,62.14€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask HHI-581539,https://www.tinydeal.com/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200336.html,1.77€,3.01€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Portable Mini LCD Digital Tyre Tire Pressure Gauge Tester CTL-27481,https://www.tinydeal.com/portable-mini-lcd-digital-tyre-tire-pressure-gauge-tester-p-23322.html,2.93€,3.39€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Bluetooth 5.0 Receiver Transmitter LCD Display 3.5mm AUX Jack ECA-581225,https://www.tinydeal.com/bluetooth-50-receiver-transmitter-lcd-display-35mm-aux-jack-p-200739.html,5.68€,10.22€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Light Controlled Square LED Wall Night Lamp Bedroom Night Light HLT-506114,https://www.tinydeal.com/light-controlled-square-led-wall-night-lamp-bedroom-night-light-p-158312.html,1.87€,4.58€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
1 Pair of Silicone Magnetic Losing Weight Toe Rings HBI-13397,https://www.tinydeal.com/1-pair-of-silicone-magnetic-losing-weight-toe-rings-p-12727.html,0.86€,2.82€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
